"original address",latitude,longitude
"Brooklyn, NY",40.678178,-73.944158
"London, UK",51.507351,-0.127758
"Brooklyn, New York",40.678178,-73.944158
"321 West 37th Street, Manhattan, New York, USA",40.754543,-73.993093
"San Francisco, USA",37.77493,-122.419416
"Zurich, Switzerland",47.36865,8.539183
"Prague",50.075538,14.4378
"Nairobi, Kenya",-1.292066,36.821946
"Beijing",39.90403,116.407526
"Yellowstone National Park",44.427963,-110.588455
"OX1 3PU",51.759998,-1.256313
"Saint Peter's University, Jersey City, NJ",40.726684,-74.071289
